ID	ProjectDescription	CandidateDescription	Preference
172	"We are looking for highly skilled technical writers with both consulting and investment experience to create a series of articles on investment analysis and due diligence. Articles should be longer blog post length (800-1000 words apiece), with the end goal a creation of a long-form ebook that will serve as a 101 guide to investment analysis and financial due diligence."	"Director of Market ResearchResume Examples & SamplesWork with business partners identify research needs and opportunities to set research objectivesDesign and execute the loyalty tracking studyIntegrate results from statistical analysis of the Loyalty study findings with business metrics and customer behaviorsDevelop insights and actionable recommendations and communicate findings through reports and presentations to managementManage offshore staff in support of ongoing study management and reportingManage a budget of between $1.0-1.2M in research costs7 to 10+ years of related marketing, consulting or market research experience with a college degree (Master's Degree preferred)Experience with loyalty and tracking research studies is requiredExperience with identifying the business implications from primary customer research/data analysisExperience with statistical analysis, text mining, and analyzing survey data with database informationExperience in financial services business preferredExcellent organizational, project management and process management skillsExcellent analytical skills, as demonstrated by a track record of thought leadership and problem solving activitiesExcellent oral communications, writing and presentation skills, has a deep interest in developing insights and recommendations for senior managementStrong statistical software and PowerPoint aptitude"	Y
173	"The PRM Specialist is the champion of the use of personalised communications to drive better reach and engagement across UnileverÕs brands and categories. PRM Specialist is predominately responsible for business engagement and supports the brands in the creation of the brief, advises on Ôthe art of the possibleÕ and once live, advises on real time course correction. They will also be responsible to create opportunities for business show and tells and Own solution frameworks that could address key business questions. They will work with the CCBTs to advise them on brand growth through data driven marketing."	"Market Research Senior ManagerResume Examples & Samples Mentors and manages a team of 3-4 researchers to become high performing team. Must have prior experience in managing analytic professionals and delegating task responsibilities Conducts primary research including writing requests for proposals, supplier selection and management, survey writing, interpretation and research reporting, makes methodological recommendations, and drafts survey questionnaires Creates analytical plan and determines which statistical methodologies are to be used while delegating project responsibilities to staff. Includes conducting statistical analyses when needed, including Cluster, Factor, Correspondence, Discriminant, and CHAID and has ability to communicate/ interpret the findings internally/ externally. Familiarity and proficiency statistical methods, applications is a must Creates thought-provoking insights that are relevant, strategic and actionable. Strong ability to create impactful stories through use of data-driven insights that use both creativity and analytical rigor is a must. Must also be confident and comfortable to presenting to C-level suite audience 6 + years consumer insights and analytics roles on vendor side, and client side experience also preferred 6 + years survey research design experience and training 6 + years using custom/ syndicated research in function with demonstrated ability to research deliver data-driven insights that answer or address specific business or customer questions 6+ years practical knowledge of statistical data and statistical approaches to analyzing data, market research methods, instruments, data sources, and suppliers, and how and where to gather new data, anticipates research and data needs, and develops marketing plans and research 4+ years’ experience in managing high-performing staff of researchers/ analytics Strong Experience with positioning, segmentation, brand personality, needstates, new product development Digital marketing experience a plus"	Y
174	"We are seeking an experienced product manager or instructional designed who has worked in the online short course provider space to act as an advisor to our team and help us put together a short course strategy, analyze the competition, and help us benchmark using a product-oriented mindset.Our ideal candidate has worked at one of the following companies, or companies similar to: Coursera, Udacity, EdX, Get Smarter).We have kept the scope intentionally vague, as this is confidential work. We will share more detail with relevant candidates. We would like to kick of ASAP."	"Finance Accounting ManagerResume Examples & Samples Approve account reconciliations, vendor invoices and journal entries Coordinate and manage allocation activity amongst multiple business units Review payroll, fixed assets activity and capital spending Analyze, report and forecast financial performance results Support initiatives to improve efficiency and effectiveness in the company’s digital business Ensure accurate invoicing and profitability analysis for centralized digital and group sales functions Oversee accounting for broadcast rights Prepare required quarterly and year-end financial reporting schedules Coordinate with internal and/or external auditors to ensure effective and efficient processes and compliance with all Sarbanes-Oxley requirements Support business unit finance leads with special projects, accounting research and process improvement initiatives Assist with the effective implementation and configuration of the company’s next generation financial systems Undergraduate in Accounting, CPA preferred along with 8-10 years of progressive experience in accounting and internal controls for a large company or significant division of a company Qualified candidate must be results-oriented, able to work in a team environment and possess excellent interpersonal skills in order to communicate across multiple operating units, corporate departments and other levels of management Must possess strong analytical and organizational skills with the ability to manage multiple tasks simultaneously and consistently meet tight deadlines, work efficiently with a sense of urgency, a high degree of accuracy and attention to detail Excellent ability to build trusting relationships and partnerships throughout the organization. Ability to define, implement and adhere to policies and procedures. Ability to work under strict deadlines. Excellent documentation and effective communication skills required Media industry experience is beneficial, but not required"	N
175	"We are a PE backed business in Waltham, MA that is in need of data analysis/clean up support. We use NetSuite, Marketo, and Open Air as well as a few others.Looking for someone that is a data guru and can manipulate large data sets. Python Experience is a major plus but not necessary.Ideally we would like to find someone who can start in the next two weeks."	"Finance / Accounting ManagerResume Examples & Samples Oversee the projections process, including integration into Humana’s long term planning model in 2015 and 2016 Coordinate review of statutory based tax calculations and process with Humana’s internal tax department Oversee CA reporting requirements and act as team liaison to internal audit group Bachelor’s Degree in Accounting, Finance or a related field Comprehensive knowledge of Microsoft Office applications, primarily Excel Five years progressive accounting experience Hyperion, and Oracle Business Suite experience desired Financial reporting experience desired"	N
176	"A mid-sized media and entertainment company is looking for support of a pricing expert.Currently, our pricing is based on a simple margin. We feel this margin is rather low, therefore we would like to identify the ideal price points for our different products and services in the future. Alternative pricing models are also welcome.Your tasks include:- Development of pricing concepts- Development and moderation of workshops with executives- Creation of top-management presentations- Management of various stakeholders"	Finance / Accounting ManagerResume Examples & Samples Coordinate the audited statement process with Humana's external auditors Review and interpret new statutory accounting guidance Coordinate the completion of the annual management and discussion analysis	N
177	"We are looking for a consultant, industry expert, operator, or executive to performindustry analysis / market research on the conversion equipment manufacturing industry. The expert will be asked to perform comprehensive diligence on market dynamics, competitive landscape, value chain, and industry trends and will deliver a final report synthesizing his/her findings. The research process may involve in-person meetings with management of a player in the space. The ideal candidate will have 6-10 years of professional experience and be highly familiar with the specific industry and equipment manufacturing. Strategy consulting experience (eg, Bain, McKinsey, BCG, or similar) is strongly preferred. Key topics will include:1. How large is the conversion equipment manufacturing industry in North America? How many market participants exist? What degree of concentration/fragmentation exists across the major industry players? Describe the value chain and identify what important sub-sectors or product niches characterize the industry.2. Who are the major competitors in the space? What are their primary means of differentiation? What are their estimated market shares?3. Recent transaction comps, valuation metrics, and relevant public information.4. What is the outlook for the industry going forward? How would the industry be impacted by a recession?5. Discuss customer purchasing criteria, demand drivers, and the value chain of the conversion equipment manufacturing ecosystem.---Note: Conversion equipment is equipment used in the manufacturing of flexible mediums used in packaging products. Conversion equipment is used to convert wholesale parent rolls into byproducts used to make specific packaging products such as labels, wrappers, sleeves, pouches, films, laminates, etc."	"Senior Finance & Accounting ManagerResume Examples & Samples Education: Bachelor / Master Degree in Accounting (an MBA would be an advantage) Work Experiences: at least 5-7 years’ experience in accounting and at least 3 years in supervisory level, FMCG is preferable Special Skills: - SAP and CPA is advantage Manage Accounting and Treasury team (7 persons) in handling accounting function: A/P, G/L and treasury Dealing with external parties such as audit firms, banks and the Revenue Department Specifically in charge of consolidated accounts, income tax, and external auditors relationship Assist in development and implementation of new procedures and features to enhance the workflow’s efficiency and process improvement Preparing accounting reports for submission to management Preparing monthly/annual budgets and related reports Providing coaching and training to accounting team members to improve their accounting skills Coordinate with outsourced accounting function located in Manila Philippines"	N
178	"We are a Chicago-based, private equity owned business that is a leading provider of science supplies and resources as well as lab safety resources; we are a value added distributor that operates in education end markets.We are seeking a consultant/project manager with extensive global supply chain experience to help our company stand up a formal global supply chain organization. Historically this group has functioned more like a purchasing organization, and we see a meaningful opportunity in transforming the strategic priorities and processes of this function.Scope of work is likely to include:Evaluating our current stateDefining the our strategic objective and proper organization structureBuild out new processes (technology, tools and people/capabilities)Implementation of new processesManage team members and organizational stakeholders into and through transformationKey criteria of consultants:Past experience standing up and running global supply chain organizationsAble to define processes and drive adoptionStrategic chops, depth and breadthBias for actionwilling to roll up sleeves and drive changeCollaborativeAble to motivate team members and report up to COO and CEOWe would like for this work to get started in Mid-November.This is a full on-site requirement, 40 hours a week in Chicago.Additional Details Below:Goal:Creation of nimble, scalable, and sustainable a State-of-the-art Global Supply Chain organization able to support businessÕs tactical and strategic goals and business objectives, built on the following tenants;Right sized Inventory _ maintaining Finished Goods inventory levels within set segmented parameters, which flow with the seasonality of our business. Success to be measured by: Percentage of complete orders shipped on the first shipment (>98%) within 24 hours.Percentage of inventory above Safety Stock, SS (>98%)Percentage of inventory below Maximum Days of Supply, MDOS, (>95%)Cost Improvement _ Drive continual cost improvement across the inventory spend. Success to be measured by:Aggregate costs across the portfolio are below previous yearÕs cost for like items.Vendor Management _ Vendor panel to be leveraged and renationalized to create best possible outcomes for the business. Vendor performance scoring to be implemented and results utilized to drive supply and cost performance initiatives. Vendor consolidation initiatives to be institutionalized to drive cost and supply improvements.Alternative and competitive sources for key inventory to be established and utilized to drive competition and support supply chain needs.Working in collaboration with Distribution and Manufacturing to ensure inventory received supports warehouse lean operational initiatives, one-touch inventory.LCC opportunities identified and pursued that support cost improvement while maintaining supply chain performance demands.Product Performance Optimization _ Through collaboration and agreement with key internal strategic partners in Sales, Marketing, and Product Management, sourced items provide the highest possible value to the portfolio.Success to be measured by the improvement in the percentage reduction of inventory generating <$1,000 in annual margin contribution. Value engineering techniques applied to drive product cost and/or sales performance. Success to be measured by sales & margin improvement across the panel.Freight Improvement - Transportation spend is reduced relative to prior year, across the portfolio of inbound freight. Success to be measured by the reduction in year over year percentage of freight spend on inventory. Freight costs are considered and included in TCO evaluations.Days of Inventory _ Segmented view of days of supply appropriate to support >98% complete orders on first shipment while not being excessive. Success to be measured by Managing to segmented Days of Supply, DOS, targets.Journey:To support the successful implementation of the detailed strategy, numerous organizational actions will need to be launched and managed to completion, specifically focused on:Technology _ It is imperative that technology in place be optimized and new technologies be investigated for insertion into the process. Transactional Execution _ Conduct a thorough evaluation of the present state of the Business System, BS, performance and capability and define future needs of the BS system to support strategic goals.S&OP _ Conduct a thorough evaluation of the present state of technology performance and capability and define future needs of the system to support strategic goals.Procure to Pay _ Research Evaluate the opportunity to insert P2P technology to advance the business processes.Machine Learning - Research Evaluate the opportunity to insert robotics technology to advance the business processes.Team _ Capability, support, and alignment of the team is essential to achieving our established goals on an aggressive timeline. To that end, the following actions are foreseen as necessary:SWOT _ A SWOT analysis of the current organization needs to be conducted to identify impediments to our success and actions plans created to mitigate.Culture _ A plan needs to be created to define the cultural expectations and roadmap for the team.Training _ An evaluation needs to be conducted to determine the Knowledge, Skills, and Abilities, KSAs, of the team to support the development of the most appropriate training plan development and implementation. Both internal and external opportunities to be considered.Business Process _ Legacy processes to be evaluated, challenged, and redefined where appropriate to support strategic outcomes.Lean _ Apply lean principles to the optimization of legacy, and creation of new, processes.Measures _ Implementation of a set of metrics and measures designed to support Realtime decision making and organizational reporting.Action and TimelineIt is imperative that work begin immediately to dramatically change the focus and trajectory of the GSC Team in order to achieve our strategic outcomes as quickly as possible and garner the significant opportunities we know lie within. Although aspects of this plan have recently been initiated, additional and intensive focus is necessary to drive the desired change. The following is suggested _ Professional Support _ By 11/1/18 - Socialize the plan with potential strategic partners to gain an understanding of their ability to help and the associated cost and schedule. By 11/30/18, make the determination to commit to professional consultant support.Evaluation & Implementation Period _ Dec 2018 _ March 2019 - Complete the appropriate evaluation and roadmap and agreed upon recommendation implementation.Process and Measurements Institutionalized - By April 1, 2019 _ processes have been fully implemented and all evaluations have been completed and recommendations adopted or planned."	"Senior Finance & Accounting ManagerResume Examples & Samples MBA and/or CPA required 7+ years of Finance and Accounting experience Prior industry experience within a financial services or real estate firm preferred, whether in corporate or public accounting Must be a self-starter with the ability to work in a dynamic environment in a strategic business position"	N
179	We need a AWS Partner to support our solution. We need someone who can help us hire the firm. The tasks we need the firms to do are attached. We have proposals from a few firms right now.	"Finance Accounting ManagerResume Examples & Samples Regulatory reporting per requirements as per regulators directive Ensuring controls and checks towards achieving these objectives per internal standards Process enhancements, refinements and alignment with global and regional standards Day-to-Day Responsibilities Interaction with various business as well as support units Review of accounting and reporting requirements Review of Local regulatory requirement Education - Chartered Accountancy Experience - 5-8 years"	N
180	"We are seeking an experienced digital marketing professional for a 6-12-month engagement to assess 2019 digital marking plans, create necessary changes, and run the new plan for a leading over-the-counter medication. The campaigns will consist of display, search, video, mobile social, and affiliate digital ads, and the expert will also have influence over the creative. This role will be running the day-to-day operations of all the campaigns. Regular updates will occur with the Brand and Health Tech teams to explain what youÕre seeing and how to better analyze the campaigns while it is in flight. We are looking to have the work start in November.RESPONSIBILITIESAudit existing digital marketing work plan, strategies, and ad campaigns (social, search, programmatic, SEO, etc.)Determine best changes to campaigns (keywords, frequency, bids, target sites) and overall 2019 plan to improve conversionImplement and run new plan and campaignsExperiment with different tactics and campaigns using data-backed analysisRun A/B tests on campaigns and creatives to improve performanceIntegrate brand and media performance analysis and insights across paid media, websites and social media.Define the KPIs, conversion events, measurement methodology, and establish success criteria and/or benchmarks of campaign performance.Confirm analytics tags are tracking properly across multiple domains, QA tracking issues and find solutions.Continually evaluate the digital marketing landscape to identify new opportunities to drive growthWork with Strategy and Marketing team to suggest changes to agency management and regular review of results and tacticsInstruct team in best analytics to watch and regularly monitor to iterate on campaignsQUALIFICATIONS8 years+ of experience in digital marketing across display, search, video, mobile, social, and affiliateThe skills necessary to analyze how traditional, digital, social media and content relate to each other and the business outcomes they can affect.Experience with tracking and driving online to offline conversionsHigh familiarity with multi-touch attribution analysisHigh degree of faculty with Google Analytics and using metrics to drive ad campaign successStrong history of performance driving SEO and ad optimization across search and displayStrong eye or sense for what makes great creative and ability to produce creativeKeen attention to detailLooking for this person to be onsite in our Philadelphia office, at little/no cost to the client. Project will be 6-12 months, 4 days/week, part-time (5 hrs/day)."	"Senior Manager, Corporate Market ResearchResume Examples & Samples Partnering with internal clients, utilizing audience data and trend analyses to inform, support and further enhance the Marketing, Programming and Development efforts of CENTRIC Developing unique and thorough analyses to positively position CENTRIC in the context of the competitive media landscape utilizing ratings research Managing various Custom Research projects using NMR data Supporting ongoing Ratings Estimates Modeling initiatives for CENTRIC Collaborating in the creation of market positioning, presentations and other materials that showcase the value of CENTRIC Downloading Nielsen ratings data daily Handling standard duties including Overnights, Daily, Weekly and Quarterly reports Working closely with members of the BETN Research team and CENTRIC staff on research decks, positioning statements and other ad hoc analysis needs Monitoring BETN key competitive influences and issue highlights Attending weekly CENTRIC meetings 1-2 years Empirical Modeling & Forecasting is essential; experience in Programming Research/ Market Research and Proven knowledge of media math and basic media terminology Proficiency in NMR databases (StarTrak, Galaxy Explorer, MarketBreaks, NPower) Proficiency in Microsoft Word, Excel and PowerPoint Detail-oriented, motivated to learn with the ability to work under pressure, handle multiple projects and meet deadlines Strong Ratings Analysis experience is a plus Excellent communication skills both written and oral, is essential Must be able to adapt to different work style and flexibility is key Strong interest in pop-culture, and African-American trends is ideal"	Y
181	"BackgroundOur client's Emerging Innovation Organization fosters growthand drives collaboration by facilitating connections across the company's five businessunits of one of their main divisions. In addition to that, they build bridges to the broader external innovation community. The goal of the Emerging Innovation Organization is to put thedynamic resources of the Company to work to bring innovative products to marketfaster.EmergingInnovation is seeking a smart and scrappy person who has the versatility todrive a range of external innovation and collaboration programs. The Programs Manager - External Innovation will have ownership for the quality ofexperience for both internal and external stakeholders and will play a criticalrole in positioning the Company globally as the innovation partner of choice. The individual will coordinate startup scouting and vettinginteractions as well as a range of engagements with the externalinnovation ecosystem.ResponsibilitiesThe External Innovation Programs Manager is primarilyaccountable for design and execution of highly-effective engagements with theexternal innovation ecosystem. Responsibilities include:Assisting in alignment of ecosystem engagement activity with business unit strategies by maintaining lists of business priorities to identify and connect relevant startups, investors, and corporate partnersConducting preliminary searches using tools like Pitchbook to answer requests for information and to proactively identify potential collaboration targetsIdentifying appropriate internal stakeholders and coordinate their participation in accelerator selection days, deal flow sessions, pitch days, and other opportunities to vet potential startup partnersMaintaining a repository of information on relevant startups, including notes from meetings, pitch decks, technical decks, and other startup materialsOrganizing the pipeline of potential external innovation partnerships and following up with stakeholders within the business units to keep up-to-date records on progress through pipelineWorking with external innovation ecosystem partners (including accelerators, venture funds, corporate venture organizations, and innovation hubs) to identify opportunities to connect with startups and other potential partners and managing outreach and scheduling for these eventsSynthesizing trends and market-back insights from online tools and external innovation ecosystem partners to share with stakeholders in the business unitsFacilitating education on how to collaborate with the external innovation ecosystem through preparation of communication materials, organization of training sessions, and other learning channelsOrganizing the pipeline of potential external innovation partnerships, maintaining a catalog of opportunities, and coordinating engagement across stakeholdersPreparing reports on external innovation activity for dissemination to leadership and other key stakeholdersStructuring scalable processes to support the expansion of external innovation efforts to a wider range of stakeholders within the business units, including vetting and implementing new tools and processes to improve efficiencyá Managing requests for external collaboration andpartnership that are directed to the CTOÕs office and working closely with theCTO to organize appropriate responses and engagementsRequired Skills/QualificationsHighly detailed and process oriented thinker who can break down large projects into manageable tasks and execute flawlessly on each component Customer-centric and empathic mindset, entrepreneurial work ethic, strong business acumen, and prior exposure to lean innovation, startup ecosystems, and corporate venture capitalRelentless networker and collaboratorÑinternally and externallyÑwith a bias toward action and one who can take initiative and act independentlyHighly organized, effective project manager who can simultaneously manage multiple projects ranging in size and complexity and execute with a sense of urgency and focus on outcomesMinimum 3 yearsÕ experience with external innovation and startupsExperience in market/customer facing positionsProject/Progam Managemen experienceBachelorÕs degree (or higher)"	"Finance / Accounting ManagerResume Examples & Samples Heavy budgeting (development, execution, analysis) Business Plan Development Manage A/R process Manage month end close process"	N
182	"Are you interested in building tools and platforms to help support cloud-based self-service analytics? Do you enjoy the challenges of hooking up to multiple data sources and integrating with 3rd Party APIs and frameworks? If you do, let's talk.We're looking for a full-stack developer to help usbuild out an internally-facing cloud-based SaaS platform for text analytics on Òvoice of the customerÓ data..Our current tech stack includes AWS (S3, ECS, SQS, Lambda), ElasticSearch, Kibana, CoreNLP, Google Natural Language Processing and similar. We'll support connections into Power BI, Tableau and Qualtrics among others.This is a lean and agile team.Your role will be to work with us on building out and developing back-end capabilities such as:_ Working with 3 rd party APIs/services_ Developing our own (RESTful) APIs/microservices for internal use across teams_ Developing pipelines and infrastructure to connect back-end components_ Optimizing the performance and stability_ Data ingestion and sanitation frameworks/pipelines_ Interfaces into front-end components and capabilities, including dashboarding_ When needed, Òpinch hittingÓ on UX development and/or other system componentsOur Goals_ Support the successful development and/or improvement of prioritized components, pipelinesand any supporting infrastructure/workflows_ Be a working, contributing member of the team_ Contribute directly to accelerating and delivering value to our internal customersSkills/Experience_ Min 5 yr experience, ideally 7 - 10 yearsÕ experience in a full stack development role_ Python and Java fluency required_ Experience with:o JSONo AWS infrastructure, including Lambda, SQS, ECS, EC2, S3_ Familiarity with Github, Kubernetes and serverless architectures_ Knowledge of/experience with the following a big plus:o ElasticSearch (for unstructured text)o Kibanao Manipulating/managing/processing unstructured text datao Slack, PivotalTracker, Jupyter Notebooks"	"Finance & Accounting Manager, SctcResume Examples & SamplesApplies Accounting policies and procedures in particular area of responsibility to reflect current company direction and in compliance with Generally Accepted Accounting PrinciplesEnsures accurate and timely presentation of financial results. Meets with department or business unit to review statements, responds to questions, and identifies areas requiring additional research or action. Provides timely responses to corrections, adjustments and outstanding itemsIncreasingly responsible accounting experience with application of Generally Accepted Accounting Principles (GAAP) to complex business transactions – (8-10 years)Developing, interpreting and implementing accounting policies and processes in a growth environment - (3 years)Business area specific accounting experience - (2 years)Systems development and implementation -(2 years)Managing others – (2 years)"	N
183	"We are a Fortune 100 Retailer looking for a consultant with expertise in Workforce Planning. We are looking for someone to help us identify our Critical Workforce Segments, identify supply and demand for those segments, and for someone to help us build out some strategies on how to attract, retain, and engage those segments differently.To be successful on this project, you will need to help our leadership teams think big about how the future of work can and will transform existing jobs. You will also need to help us comb through lots of people data (with various levels of integrity/confidence in the data) and help us use that information to make informed decisions on critical segments. We will want someone with an analytical mind who has had experience working with executive stakeholders. Someone that can help us ensure that we use critical segments findings to help us further develop our existing talent strategy."	Finance & Accounting ManagerResume Examples & Samples Conduct primary research design in the Pharmaceutical Industry Sales Forecast & Product Evaluation Hands on Competitor Analysis and reporting it to stake holders on its impact Provide value added analysis Critical and Logical thinking Fact base analysis Business Intelligence unit experience Age between 30 to 40 Experienced in international company Business English	N
184	"A unique opportunity to drive a positive impact among youth globally. Clear is a global hair care brand with a meaningful sustainable living purpose that has the ambition to improve the lives of young people around the world, creating a positive impact both at the individual & society levels. To do that, Clear needs to build a global curriculum for our social mission programs, rooted in scientific knowledge, that will be used by Clear markets around the world as a guide to deploy & execute the programs locally. As the curriculum requires inputs from external experts from different research fields, the social mission manager would require great communication and collaboration skills to work closely with external partners (individual experts or organizations). In addition, creative skills will be essential to create a curriculum in a way that is relevant for both the audience & the brand."	"Finance & Accounting ManagerResume Examples & Samples To oversee the maintenance of the Account Receivable sub-ledgers in creating new debtors’ codes or updating credit limits The safeguard of all hotel cash and bank assets: to certify all monthly bank and credit card reconciliation, to ensure that all daily cash and cheque collection are duly verified and banked-in intact on a daily basis To oversee and ensure the smooth running of the overall Cost Control functions, in particular The actual record and safeguard of all stocks of the hotel with all variances being justified and corrected To oversee and ensure the smooth running of the purchasing functions, in particular that all procurement of goods and services are done in accordance with the hotel policies and procedures The accuracy of the payroll calculation and payment to employees The strict respect of country tax legislation (preparation and filing of all tax matters ) To oversee all legal and tax matters related to the hotel in liaison with consultants and local"	N
185	"The client, a national leader in healthcare technology, seeks a highly motivated and professional Senior Vice President, Clinical Solutions. We partner with the top health systems, health plans, employers, and digital health companies and are changing the way healthcare is delivered.Brief Overview:The client seeks an executive to lead the Clinical Solutions division of the company. This individual has full P&L responsibility for the rapidly growing Òsupply-sideÓ of our online doctor marketplace and optimizes the quantity and quality of doctors available to our patients. This person will have experience in healthcare service operations, with experience balancing supply and demand in a seasonal, growing business. They will also have significant experience taking new products and services to market, including strategy, business development, and go to market support.Core Responsibilities:¥ Ensure the operational success of the Online Care Group (OCG). The OCG is a nationwide multi-specialty medical group that includes over 3,200 physicians, therapists, nutritionists and other professionals practicing on out telehealth platforms.¥ Lead a team of 50+ operational staff, including Clinical Program Development, Provider Engagement, Operations, Clinical quality, and finance.¥ Continually improve processes and provide overall guidance on the required software product enhancements needed to support the efficient expansion of the services¥ Interact with clients (payers, providers, healthcare innovators) to jointly develop new services¥ Negotiate contracts with doctors, technology vendors, and American Well customers¥ Mentor / train /support a growing teamQualifications:¥ Must be a confident and analytical leader with a high level of intelligence demonstrated through effective problem solving skills, the ability to multitask and make decisions quickly¥ Takes a positive and proactive approach to management with the proven ability to build teams of top talent and foster a culture of high performance¥ Must be a charismatic, executive-level presence with the ability to establish relationships with key influencers and decision-makers¥ Leverages data to lead in a metrics-driven environment and holds his/her team accountable to established metrics; ideally has created metrics and KPIs for a company in a high growth environment¥ Brings demonstrated success with P&L management¥ Experience working with payers and/or providers on contracting and creating alternative clinical models."	"Finance Accounting ManagerResume Examples & Samples Approve account reconciliations, vendor invoices and journal entries Coordinate and manage allocation activity amongst multiple business units Review payroll, fixed assets activity and capital spending Analyze, report and forecast financial performance results Support initiatives to improve efficiency and effectiveness in the company’s digital business Ensure accurate invoicing and profitability analysis for centralized digital and group sales functions Oversee accounting for broadcast rights Prepare required quarterly and year-end financial reporting schedules Coordinate with internal and/or external auditors to ensure effective and efficient processes and compliance with all Sarbanes-Oxley requirements Support business unit finance leads with special projects, accounting research and process improvement initiatives Assist with the effective implementation and configuration of the company’s next generation financial systems Undergraduate in Accounting, CPA preferred along with 8-10 years of progressive experience in accounting and internal controls for a large company or significant division of a company Qualified candidate must be results-oriented, able to work in a team environment and possess excellent interpersonal skills in order to communicate across multiple operating units, corporate departments and other levels of management Must possess strong analytical and organizational skills with the ability to manage multiple tasks simultaneously and consistently meet tight deadlines, work efficiently with a sense of urgency, a high degree of accuracy and attention to detail Excellent ability to build trusting relationships and partnerships throughout the organization. Ability to define, implement and adhere to policies and procedures. Ability to work under strict deadlines. Excellent documentation and effective communication skills required Media industry experience is beneficial, but not required"	N
186	"I am looking for a survey writing & design expert to partner with my boutique consulting firm and help us ensure that the surveys we write, or our client's send us are effective.Specifically, we are seeking an individual who is an expert in survey writing & design and can review surveys from a social science lens / respondents lens. I am not looking for someone who is an expert in logic or survey execution. I am looking for someone who knows how nuanced tweaks to a survey can ensure that we are gathering the information we want from each and every question.The main activity for this individual would be to conduct a final review of a survey and provide our team with feedback to ensure we are spot on from a design perspective before launching and executing on a survey. I envision this to be an on-going relationship, whereby we ask for an hour's time of review for each survey, etc."	"Finance / Accounting ManagerResume Examples & Samples Oversee the projections process, including integration into Humana’s long term planning model in 2015 and 2016 Coordinate review of statutory based tax calculations and process with Humana’s internal tax department Oversee CA reporting requirements and act as team liaison to internal audit group Bachelor’s Degree in Accounting, Finance or a related field Comprehensive knowledge of Microsoft Office applications, primarily Excel Five years progressive accounting experience Hyperion, and Oracle Business Suite experience desired Financial reporting experience desired"	N
187	"We're conducting a landscape assessment of software used for factory design and plant simulation. We're looking for someone with knowledge in this space to help us understand the applications/use-cases and strengths/weaknesses of specific products. This project will involve mostly primary research, and the consultant should be able to source interviews with users of the products we're evaluating. Final deliverable will be a report. More info will be provided to select candidates. Looking to kickoff this project in December/January."	Finance / Accounting ManagerResume Examples & Samples Coordinate the audited statement process with Humana's external auditors Review and interpret new statutory accounting guidance Coordinate the completion of the annual management and discussion analysis	N
188	"I'd like to highlight that although there are many solutions out there to help people get work, wages are dropping, there are more people than ever sitting on the sidelines and job boards, staffing agencies and the 'gig economy' are these solutions are not aligned with the worker. They are aligned with the people who pay them: businesses.I would like to this piece to be educational, but also a call to action for entrepreneurs to get creative and build something that put's the worker first (just like my company, without being promotional).Lastly, I would like to highlight things entrepreneurs should be building to help the job-seeker:1. simple training programs with friends2. technology that makes it easier for a job seeker, not more burdensome3. incentive-based business models that makes it easier for job seekers to shoot for goals"	"Senior Finance & Accounting ManagerResume Examples & Samples Education: Bachelor / Master Degree in Accounting (an MBA would be an advantage) Work Experiences: at least 5-7 years’ experience in accounting and at least 3 years in supervisory level, FMCG is preferable Special Skills: - SAP and CPA is advantage Manage Accounting and Treasury team (7 persons) in handling accounting function: A/P, G/L and treasury Dealing with external parties such as audit firms, banks and the Revenue Department Specifically in charge of consolidated accounts, income tax, and external auditors relationship Assist in development and implementation of new procedures and features to enhance the workflow’s efficiency and process improvement Preparing accounting reports for submission to management Preparing monthly/annual budgets and related reports Providing coaching and training to accounting team members to improve their accounting skills Coordinate with outsourced accounting function located in Manila Philippines"	N
189	"Niche commercial real estate firm, new to the market but seasoned professionals, is looking for a detailed and focused marketing strategy that goes above and beyond the industry norms. Never has research been used in order to target and identify a market segment and most marketing/advertising that has been completed to date is generic with no order. This is a start-up but leadership is well known in the industry and has a strong sense of the market dynamics of the property type; triple net leased investments. This is the first time that market research has been contemplated.An understanding of national marketing campaigns for professional services firms would be preferred."	"Senior Finance & Accounting ManagerResume Examples & Samples MBA and/or CPA required 7+ years of Finance and Accounting experience Prior industry experience within a financial services or real estate firm preferred, whether in corporate or public accounting Must be a self-starter with the ability to work in a dynamic environment in a strategic business position"	N
